Level1,Level2,Level3,Level4,Level5,Level6,Order,Active
PJ収入,,,,,,0,TRUE
,プロジェクト売上,,,,,0,TRUE
,,コンサル,,,,0,TRUE
,,SES,,,,0,TRUE
,,受託開発,,,,0,TRUE
PJ支出,,,,,,0,TRUE
,プロジェクト費用,,,,,0,TRUE
,,BizDev費用,,,,0,TRUE
,,PM費用,,,,0,TRUE
営業収入,,,,,,0,TRUE
,社宅（個人負担分）,,,,,0,TRUE
,受取利息,,,,,0,TRUE
,受取配当金,,,,,0,TRUE
営業支出,,,,,,0,TRUE
,営業販管費,,,,,0,TRUE
,,給与,,,,0,TRUE
,,外注費,,,,0,TRUE
,,福利厚生費,,,,0,TRUE
,,社会保険料,,,,0,TRUE
,,労働保険料,,,,0,TRUE
,,採用費・リファラル報酬,,,,0,TRUE
,,会議費,,,,0,TRUE
,,旅費交通費,,,,0,TRUE
,,通信費,,,,0,TRUE
,,消耗品費,,,,0,TRUE
,,水道光熱費,,,,0,TRUE
,,諸会費,,,,0,TRUE
,,支払報酬料,,,,0,TRUE
,,支払手数料,,,,0,TRUE
,,,Docusign費用,,,0,TRUE
,,,振込手数料,,,0,TRUE
,,,振込手数料,,,0,TRUE
,,地代家賃,,,,0,TRUE
,,,オフィス賃料,,,0,TRUE
,,,借上げ社宅費用,,,0,TRUE
,,リース料,,,,0,TRUE
,,租税公課,,,,0,TRUE
,,雑費,,,,0,TRUE
,,支払利息,,,,0,TRUE
,,所得税,,,,0,TRUE
,,住民税,,,,0,TRUE
,,法人税,,,,0,TRUE
,,消費税,,,,0,TRUE
,投資販管費,,,,,0,TRUE
,,採用費,,,,0,TRUE
投資収入,,,,,,0,TRUE
投資支出,,,,,,0,TRUE
財務収入,,,,,,0,TRUE
,新規借入金,,,,,0,TRUE
,J-KISS,,,,,0,TRUE
,増資・新株発行,,,,,0,TRUE
財務支出,,,,,,0,TRUE
,借入金返済,,,,,0,TRUE
,,日本政策金融公庫,,,,0,TRUE
,,みずほ銀行,,,,0,TRUE
